äÓèÄì˙,äÓèÄâøäz,ëOì˙î‰,èÉéëéYëçäz,íºãﬂåàéZì˙,íºãﬂï™îzã‡,ï™îzã‡çƒìäéëäÓèÄâøäz
20180131,10000.00,0,500000000,00000000,0,10000
20180201,10007.00,7,500339146,00000000,0,10007
20180202,9921.00,-86,496032935,00000000,0,9921
20180205,9752.00,-169,487610075,00000000,0,9752
20180206,9263.00,-489,463174282,00000000,0,9263
20180207,9553.00,290,477650053,00000000,0,9553
20180208,9519.00,-34,475941720,00000000,0,9519
20180209,9185.00,-334,459248422,00000000,0,9185
20180213,9470.00,285,473495534,00000000,0,9470
20180214,9562.00,92,478080987,00000000,0,9562
20180215,9714.00,152,485713295,00000000,0,9714
20180216,9871.00,157,493545242,00000000,0,9871
20180219,9784.00,-87,489218438,00000000,0,9784
20180220,9830.00,46,491505861,00000000,0,9830
20180221,9942.00,112,497089937,00000000,0,9942
20180222,9969.00,27,498448576,00000000,0,9969
20180223,9915.00,-54,495790756,00000000,0,9915
20180226,10081.00,166,505519412,00000000,0,10081
20180227,10191.00,110,593554089,00000000,0,10191
20180228,10083.00,-108,616446012,00000000,0,10083
20180301,9975.00,-108,633867756,00000000,0,9975
20180302,9775.00,-200,652203817,00000000,0,9775
20180305,9824.00,49,662278617,00000000,0,9824
20180306,10064.00,240,679678278,00000000,0,10064
20180307,10107.00,43,686965579,00000000,0,10107
20180308,10223.00,116,695897036,00000000,0,10223
20180309,10234.00,11,699153081,00000000,0,10234
20180312,10464.00,230,718681196,00000000,0,10464
20180313,10474.00,10,727839406,00000000,0,10474
20180314,10322.00,-152,771125739,00000000,0,10322
20180315,10359.00,37,792831698,00000000,0,10359
20180316,10390.00,31,815704053,00000000,0,10390
20180319,10316.00,-74,815136718,00000000,0,10316
20180320,10042.00,-274,801141249,00000000,0,10042
20180322,9950.00,-92,799362019,00000000,0,9950
20180323,9554.00,-396,770421764,00000000,0,9554
20180326,9327.00,-227,742185760,00000000,0,9327
20180327,9706.00,379,712650170,00000000,0,9706
20180328,9166.00,-540,672777268,00000000,0,9166
20180329,9072.00,-94,667327739,00000000,0,9072
20180330,9241.00,169,679908700,00000000,0,9241
20180402,9246.00,5,740809789,00000000,0,9246
20180403,8903.00,-343,713376524,00000000,0,8903
20180404,9043.00,140,729526618,00000000,0,9043
20180405,9211.00,168,745753529,00000000,0,9211
20180406,9377.00,166,760801006,00000000,0,9377
20180409,9124.00,-253,741292383,00000000,0,9124
20180410,9144.00,20,745113494,00000000,0,9144
20180411,9499.00,355,777691959,00000000,0,9499
20180412,9446.00,-53,774782235,00000000,0,9446
20180413,9544.00,98,784862949,00000000,0,9544
20180416,9522.00,-22,784670255,00000000,0,9522
20180417,9485.00,-37,732981113,00000000,0,9485
20180418,9844.00,359,751489224,00000000,0,9844
20180419,9895.00,51,755882986,00000000,0,9895
20180420,9878.00,-17,754844628,00000000,0,9878
20180423,9759.00,-119,752205854,00000000,0,9759
20180424,9715.00,-44,751824742,00000000,0,9715
20180425,9505.00,-210,736122221,00000000,0,9505
20180426,9493.00,-12,732334893,00000000,0,9493
20180427,9773.00,280,753276292,00000000,0,9773
20180501,9862.00,89,759571492,00000000,0,9862
20180502,10019.00,157,772398269,00000000,0,10019
20180507,10163.00,144,784047562,00000000,0,10163
20180508,10333.00,170,807605086,00000000,0,10333
20180509,10436.00,103,818007627,00000000,0,10436
20180510,10624.00,188,840047024,00000000,0,10624
20180511,10683.00,59,851357298,00000000,0,10683
20180514,10611.00,-72,851462837,00000000,0,10611
20180515,10678.00,67,869693504,00000000,0,10678
20180516,10572.00,-106,872447979,00000000,0,10572
20180517,10656.00,84,888687029,00000000,0,10656
20180518,10661.00,5,887669525,00000000,0,10661
20180521,10501.00,-160,874241422,00000000,0,10501
20180522,10566.00,65,883130690,00000000,0,10566
20180523,10469.00,-97,874005871,00000000,0,10469
20180524,10504.00,35,876599132,00000000,0,10504
20180525,10504.00,0,874615185,00000000,0,10504
20180528,10541.00,37,877536060,00000000,0,10541
20180529,10514.00,-27,874654095,00000000,0,10514
20180530,10426.00,-88,867332975,00000000,0,10426
20180531,10543.00,117,864840869,00000000,0,10543
20180601,10591.00,48,866476453,00000000,0,10591
20180604,10922.00,331,894224966,00000000,0,10922
20180605,11149.00,227,903121034,00000000,0,11149
20180606,11210.00,61,926647886,00000000,0,11210
20180607,11354.00,144,945822498,00000000,0,11354
20180608,11215.00,-139,946333618,00000000,0,11215
20180611,11198.00,-17,957106546,00000000,0,11198
20180612,11382.00,184,974214994,00000000,0,11382
20180613,11533.00,151,989098036,00000000,0,11533
20180614,11574.00,41,1057007238,00000000,0,11574
20180615,11852.00,278,1089260707,00000000,0,11852
20180618,11776.00,-76,1101987099,00000000,0,11776
20180619,11791.00,15,1129052710,00000000,0,11791
20180620,11664.00,-127,1155924563,00000000,0,11664
20180621,11860.00,196,1137747656,00000000,0,11860
20180622,11655.00,-205,1160123106,00000000,0,11655
20180625,11539.00,-116,1192806874,00000000,0,11539
20180626,11162.00,-377,1178614406,00000000,0,11162
20180627,11326.00,164,1208013830,00000000,0,11326
20180628,11143.00,-183,1168722463,00000000,0,11143
20180629,11337.00,194,1185967647,00000000,0,11337
20180702,11278.00,-59,1173782324,00000000,0,11278
20180703,11404.00,126,1208767222,00000000,0,11404
20180704,11102.00,-302,1197740852,00000000,0,11102
20180705,11108.00,6,1196286390,00000000,0,11108
20180706,11288.00,180,1215681334,00000000,0,11288
20180709,11480.00,192,1252991468,00000000,0,11480
20180710,11651.00,171,1284089179,00000000,0,11651
20180711,11638.00,-13,1315649722,00000000,0,11638
20180712,11705.00,67,1332408369,00000000,0,11705
20180713,11963.00,258,1376398825,00000000,0,11963
20180717,11823.00,-140,1368594868,00000000,0,11823
20180718,11976.00,153,1420429718,00000000,0,11976
20180719,11870.00,-106,1439838058,00000000,0,11870
20180720,11729.00,-141,1445820446,00000000,0,11729
20180723,11517.00,-212,1449213795,00000000,0,11517
20180724,11523.00,6,1454891063,00000000,0,11523
20180725,11549.00,26,1466492911,00000000,0,11549
20180726,11759.00,210,1482395166,00000000,0,11759
20180727,11461.00,-298,1445984504,00000000,0,11461
20180730,11059.00,-402,1405364311,00000000,0,11059
20180731,10738.00,-321,1373668783,00000000,0,10738
20180801,10871.00,133,1379561486,00000000,0,10871
20180802,10870.00,-1,1372524044,00000000,0,10870
20180803,11195.00,325,1476425568,00000000,0,11195
20180806,11128.00,-67,1467303538,00000000,0,11128
20180807,11220.00,92,1483357883,00000000,0,11220
20180808,11351.00,131,1507708346,00000000,0,11351
20180809,11236.00,-115,1501641597,00000000,0,11236
20180810,11176.00,-60,1502143703,00000000,0,11176
20180813,11107.00,-69,1512111339,00000000,0,11107
20180814,11129.00,22,1515893668,00000000,0,11129
20180815,11188.00,59,1522166459,00000000,0,11188
20180816,10929.00,-259,1486342768,00000000,0,10929
20180817,10951.00,22,1473141965,00000000,0,10951
20180820,10783.00,-168,1451183638,00000000,0,10783
20180821,10776.00,-7,1453429992,00000000,0,10776
20180822,10936.00,160,1468834498,00000000,0,10936
20180823,11082.00,146,1482040789,00000000,0,11082
20180824,11102.00,20,1496018492,00000000,0,11102
20180827,11239.00,137,1517669828,00000000,0,11239
20180828,11424.00,185,1557499306,00000000,0,11424
20180829,11364.00,-60,1553037559,00000000,0,11364
20180830,11494.00,130,1571512612,00000000,0,11494
20180831,11416.00,-78,1569574251,00000000,0,11416
20180903,11394.00,-22,1557124999,00000000,0,11394
20180904,11404.00,10,1558600424,00000000,0,11404
20180905,11329.00,-75,1548365687,00000000,0,11329
20180906,10991.00,-338,1503080024,00000000,0,10991
20180907,10737.00,-254,1471080239,00000000,0,10737
20180910,10713.00,-24,1468329745,00000000,0,10713
20180911,10782.00,69,1480551581,00000000,0,10782
20180912,10908.00,126,1500990656,00000000,0,10908
20180913,10899.00,-9,1487610151,00000000,0,10899
20180914,11067.00,168,1512541620,00000000,0,11067
20180918,10777.00,-290,1475177750,00000000,0,10777
20180919,10853.00,76,1486692789,00000000,0,10853
20180920,11008.00,155,1487858773,00000000,0,11008
20180921,11102.00,94,1494795337,00000000,0,11102
20180925,11064.00,-38,1486911681,00000000,0,11064
20180926,11136.00,72,1506926100,00000000,0,11136
20180927,11200.00,64,1512209569,00000000,0,11200
20180928,11373.00,173,1542171195,00000000,0,11373
20181001,11197.00,-176,1522648937,00000000,0,11197
20181002,11397.00,200,1555714402,00000000,0,11397
20181003,11210.00,-187,1510075493,00000000,0,11210
20181004,11330.00,120,1526268140,00000000,0,11330
20181005,10974.00,-356,1482309423,00000000,0,10974
20181009,10515.00,-459,1426187888,00000000,0,10515
20181010,10589.00,74,1425398245,00000000,0,10589
20181011,9934.00,-655,1336187584,00000000,0,9934
20181012,9876.00,-58,1328656737,00000000,0,9876
20181015,10199.00,323,1380311091,00000000,0,10199
20181016,10049.00,-150,1373061310,00000000,0,10049
20181017,10460.00,411,1437846291,00000000,0,10460
20181018,10481.00,21,1443913200,00000000,0,10481
20181019,10141.00,-340,1401660191,00000000,0,10141
20181022,10054.00,-87,1389729428,00000000,0,10054
20181023,10186.00,132,1411163215,00000000,0,10186
20181024,10204.00,18,1419076033,00000000,0,10204
20181025,9616.00,-588,1333775567,00000000,0,9616
20181026,10210.00,594,1418241257,00000000,0,10210
20181029,9990.00,-220,1382397751,00000000,0,9990
20181030,9716.00,-274,1336395136,00000000,0,9716
20181031,9964.00,248,1392065716,00000000,0,9964
20181101,10278.00,314,1442519126,00000000,0,10278
20181102,10548.00,270,1482437337,00000000,0,10548
20181105,10383.00,-165,1460606924,00000000,0,10383
