ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç çëì‡äîéÆÅiì˙åoïΩãœÅj
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2018/02/02,9911,9911,,0.01
2018/02/05,9658,9658,,0.02
2018/02/06,9201,9201,,0.04
2018/02/07,9213,9213,,0.09
2018/02/08,9319,9319,,0.15
2018/02/09,9102,9102,,0.30
2018/02/13,9041,9041,,0.37
2018/02/14,9005,9005,,0.48
2018/02/15,9137,9137,,0.53
2018/02/16,9246,9246,,0.56
2018/02/19,9428,9428,,0.63
2018/02/20,9333,9333,,0.85
2018/02/21,9352,9352,,0.90
2018/02/22,9252,9252,,0.95
2018/02/23,9319,9319,,1.09
2018/02/26,9436,9436,,1.11
2018/02/27,9536,9536,,1.13
2018/02/28,9399,9399,,1.10
2018/03/01,9251,9251,,1.15
2018/03/02,9021,9021,,1.25
2018/03/05,8961,8961,,1.44
2018/03/06,9122,9122,,1.58
2018/03/07,9051,9051,,1.56
2018/03/08,9101,9101,,1.57
2018/03/09,9144,9144,,1.58
2018/03/12,9295,9295,,1.60
2018/03/13,9356,9356,,1.52
2018/03/14,9274,9274,,1.49
2018/03/15,9286,9286,,1.51
2018/03/16,9231,9231,,1.49
2018/03/19,9147,9147,,1.46
2018/03/20,9105,9105,,1.47
2018/03/22,9195,9195,,1.52
2018/03/23,8779,8779,,1.48
2018/03/26,8842,8842,,1.68
2018/03/27,9078,9078,,1.77
2018/03/28,9024,9024,,1.68
2018/03/29,9079,9079,,1.81
2018/03/30,9205,9205,,2.29
2018/04/02,9177,9177,,2.29
2018/04/03,9136,9136,,2.29
2018/04/04,9148,9148,,2.68
2018/04/05,9287,9287,,2.72
2018/04/06,9254,9254,,2.70
2018/04/09,9301,9301,,2.71
2018/04/10,9352,9352,,2.80
2018/04/11,9305,9305,,2.77
2018/04/12,9294,9294,,2.79
2018/04/13,9345,9345,,2.82
2018/04/16,9369,9369,,2.24
2018/04/17,9374,9374,,1.99
2018/04/18,9508,9508,,2.01
2018/04/19,9522,9522,,1.92
2018/04/20,9509,9509,,1.93
2018/04/23,9477,9477,,1.98
2018/04/24,9558,9558,,2.10
2018/04/25,9532,9532,0,1.99
2018/04/26,9576,9576,,2.01
2018/04/27,9643,9643,,2.06
2018/05/01,9659,9659,,2.07
2018/05/02,9644,9644,,2.19
2018/05/07,9641,9641,,2.24
2018/05/08,9660,9660,,2.33
2018/05/09,9617,9617,,2.33
2018/05/10,9655,9655,,2.41
2018/05/11,9768,9768,,2.53
2018/05/14,9814,9814,,2.51
2018/05/15,9793,9793,,2.65
2018/05/16,9751,9751,,2.77
2018/05/17,9803,9803,,2.91
2018/05/18,9842,9842,,2.85
2018/05/21,9873,9873,,2.79
2018/05/22,9854,9854,,2.85
2018/05/23,9738,9738,,2.84
2018/05/24,9630,9630,,2.94
2018/05/25,9636,9636,,2.98
2018/05/28,9649,9649,,3.46
2018/05/29,9595,9595,,3.05
2018/05/30,9450,9450,,3.05
2018/05/31,9529,9529,,3.33
2018/06/01,9516,9516,,3.62
2018/06/04,9647,9647,,3.68
2018/06/05,9674,9674,,3.69
2018/06/06,9711,9711,,3.21
2018/06/07,9796,9796,,3.28
2018/06/08,9740,9740,,3.21
2018/06/11,9787,9787,,3.25
2018/06/12,9819,9819,,3.28
2018/06/13,9856,9856,,3.36
2018/06/14,9758,9758,,3.21
2018/06/15,9807,9807,,3.24
2018/06/18,9733,9733,,3.27
2018/06/19,9560,9560,,3.33
2018/06/20,9679,9679,,3.49
2018/06/21,9738,9738,,3.58
2018/06/22,9662,9662,,3.61
2018/06/25,9586,9586,,3.67
2018/06/26,9588,9588,,3.70
2018/06/27,9569,9569,,3.76
2018/06/28,9569,9569,,3.81
2018/06/29,9584,9584,,3.85
2018/07/02,9372,9372,,3.83
2018/07/03,9360,9360,,3.78
2018/07/04,9331,9331,,3.91
2018/07/05,9257,9257,,3.91
2018/07/06,9361,9361,,3.79
2018/07/09,9475,9475,,3.86
2018/07/10,9536,9536,,3.92
2018/07/11,9423,9423,,3.81
2018/07/12,9533,9533,,3.82
2018/07/13,9708,9708,,3.87
2018/07/17,9751,9751,,3.81
2018/07/18,9793,9793,,3.58
2018/07/19,9780,9780,,3.51
2018/07/20,9752,9752,,3.50
2018/07/23,9622,9622,,3.47
2018/07/24,9671,9671,,3.62
2018/07/25,9715,9715,,3.66
2018/07/26,9703,9703,,3.70
2018/07/27,9758,9758,,3.76
2018/07/30,9686,9686,,3.73
2018/07/31,9689,9689,,3.83
2018/08/01,9772,9772,,3.92
2018/08/02,9671,9671,,3.99
2018/08/03,9677,9677,,4.16
2018/08/06,9669,9669,,4.20
2018/08/07,9736,9736,,4.34
2018/08/08,9728,9728,,4.35
2018/08/09,9708,9708,,4.29
2018/08/10,9579,9579,,4.29
2018/08/13,9394,9394,,4.30
2018/08/14,9607,9607,,5.61
2018/08/15,9541,9541,,5.51
2018/08/16,9536,9536,,5.65
