äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2015/10/07,9998,9998,0.80,
2015/10/08,9333,9333,1.29,
2015/10/09,10033,10033,2.01,
2015/10/13,9530,9530,2.03,
2015/10/14,8927,8927,2.47,
2015/10/15,9261,9261,3.62,
2015/10/16,9681,9681,4.07,
2015/10/19,9314,9314,4.04,
2015/10/20,9490,9490,4.43,
2015/10/21,10235,10235,5.11,
2015/10/22,10019,10019,4.55,
2015/10/23,10832,10832,5.50,
2015/10/26,11179,11179,5.43,
2015/10/27,10922,10922,6.23,
2015/10/28,11143,11143,8.20,
2015/10/29,11067,11067,8.58,
2015/10/30,11548,11548,9.65,
2015/11/02,10630,10630,9.49,
2015/11/04,11007,11007,13.65,
2015/11/05,11613,11613,13.87,
2015/11/06,11925,11925,13.56,
2015/11/09,12882,12882,14.75,
2015/11/10,13109,13109,16.63,
2015/11/11,13222,13222,23.24,
2015/11/12,13050,13050,24.65,
2015/11/13,12906,12906,24.97,
2015/11/16,12293,12293,28.89,
2015/11/17,13016,13016,32.62,
2015/11/18,13044,13044,33.78,
2015/11/19,13582,13582,34.46,
2015/11/20,13611,13611,33.64,
2015/11/24,13813,13813,37.70,
2015/11/25,13487,13487,37.63,
2015/11/26,13748,13748,40.63,
2015/11/27,13510,13510,39.63,
2015/11/30,13188,13188,41.07,
2015/12/01,13964,13964,43.38,
2015/12/02,13755,13755,42.24,
2015/12/03,13725,13725,42.20,
2015/12/04,12302,12302,38.50,
2015/12/07,13071,13071,50.30,
2015/12/08,12334,12334,46.03,
2015/12/09,11819,11819,46.55,
2015/12/10,11112,11112,47.91,
2015/12/11,11606,11606,59.15,
2015/12/14,10645,10645,57.25,
2015/12/15,9948,9948,63.06,
2015/12/16,11187,11187,75.56,
2015/12/17,11813,11813,81.36,
2015/12/18,10790,10790,72.86,
2015/12/21,10520,10520,73.38,
2015/12/22,10592,10592,78.74,
2015/12/24,10447,10447,79.40,
2015/12/25,10234,10234,76.92,
2015/12/28,10656,10656,80.18,
2015/12/29,10848,10848,83.47,
2015/12/30,10970,10970,85.16,
2016/01/04,9358,9358,72.00,
2016/01/05,9313,9313,77.71,
2016/01/06,8922,8922,78.25,
2016/01/07,7829,7829,73.49,
2016/01/08,7886,7886,80.88,
2016/01/12,6735,6735,75.74,
2016/01/13,7779,7779,97.06,
2016/01/14,7036,7036,91.77,
2016/01/15,6764,6764,96.78,
2016/01/18,6273,6273,90.35,
2016/01/19,6597,6597,97.98,
2016/01/20,5371,5371,81.08,
2016/01/21,4912,4912,77.24,
2016/01/22,6057,6057,98.83,
2016/01/25,6544,6544,109.10,
2016/01/26,5704,5704,96.34,
2016/01/27,6457,6457,110.99,
2016/01/28,6279,6279,105.56,
2016/01/29,7195,7195,120.67,
2016/02/01,7593,7593,131.01,
2016/02/02,7428,7428,128.15,
2016/02/03,6321,6321,108.94,
2016/02/04,6178,6178,108.64,
2016/02/05,5638,5638,100.19,
2016/02/08,6049,6049,107.07,
2016/02/09,4609,4609,82.56,
2016/02/10,4137,4137,80.62,
2016/02/12,3160,3160,65.48,
2016/02/15,4227,4227,93.92,
2016/02/16,4344,4344,95.07,
2016/02/17,3994,3994,87.13,
2016/02/18,4549,4549,99.30,
2016/02/19,4239,4239,92.19,
