äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2026/01/21,10000,10000,50.65,
2026/01/22,10002,10002,50.66,
2026/01/23,10192,10192,56.11,
2026/01/26,10078,10078,61.49,
2026/01/27,10189,10189,67.24,
2026/01/28,10308,10308,87.19,
2026/01/29,10745,10745,98.86,
2026/01/30,10813,10813,106.61,
2026/02/02,9854,9854,105.68,
2026/02/03,9474,9474,113.45,
2026/02/04,10090,10090,138.38,
2026/02/05,10125,10125,150.97,
2026/02/06,9868,9868,155.78,
2026/02/09,10166,10166,167.04,
2026/02/10,10373,10373,174.27,
2026/02/12,10195,10195,177.65,
2026/02/13,9828,9828,174.59,
2026/02/16,10072,10072,183.99,
2026/02/17,10088,10088,186.35,
2026/02/18,9775,9775,180.56,
2026/02/19,10087,10087,191.31,
2026/02/20,10142,10142,193.37,
2026/02/24,10595,10595,203.60,
2026/02/25,10515,10515,203.76,
2026/02/26,10512,10512,206.60,
2026/02/27,10577,10577,209.15,
2026/03/02,10760,10760,213.99,
2026/03/03,10970,10970,219.55,
2026/03/04,10503,10503,216.31,
2026/03/05,10506,10506,218.62,
2026/03/06,10436,10436,218.98,
2026/03/09,10684,10684,226.45,
2026/03/10,10596,10596,226.39,
2026/03/11,10746,10746,232.34,
2026/03/12,10773,10773,233.67,
2026/03/13,10578,10578,229.94,
2026/03/16,10450,10450,229.22,
2026/03/17,10438,10438,229.77,
2026/03/18,10401,10401,230.28,
2026/03/19,10117,10117,225.01,
2026/03/23,9391,9391,209.48,
2026/03/24,9119,9119,204.20,
2026/03/25,9133,9133,207.66,
2026/03/26,9450,9450,219.21,
2026/03/27,9111,9111,215.44,
2026/03/30,9445,9445,226.56,
2026/03/31,9437,9437,228.71,
2026/04/01,9725,9725,239.09,
2026/04/02,9883,9883,244.34,
2026/04/03,9756,9756,245.21,
2026/04/06,9760,9760,246.67,
2026/04/07,9728,9728,245.86,
2026/04/08,9749,9749,248.48,
2026/04/09,9827,9827,251.22,
2026/04/10,9928,9928,256.16,
2026/04/13,9947,9947,257.45,
2026/04/14,9868,9868,256.14,
2026/04/15,10062,10062,263.23,
2026/04/16,9953,9953,260.47,
2026/04/17,9984,9984,261.55,
2026/04/20,10084,10084,264.52,
2026/04/21,10002,10002,262.90,
2026/04/22,9734,9734,257.02,
2026/04/23,9873,9873,260.90,
2026/04/24,9806,9806,259.59,
2026/04/27,9835,9835,261.15,
2026/04/28,9759,9759,259.46,
2026/04/30,9530,9530,254.31,
2026/05/01,9482,9482,253.26,
2026/05/07,9589,9589,257.02,
2026/05/08,9650,9650,261.71,
2026/05/11,9693,9693,265.82,
2026/05/12,9738,9738,269.45,
2026/05/13,9724,9724,270.24,
2026/05/14,9673,9673,270.26,
2026/05/15,9642,9642,270.11,
2026/05/18,9447,9447,264.79,
2026/05/19,9472,9472,265.86,
2026/05/20,9316,9316,261.74,
2026/05/21,9443,9443,265.81,
2026/05/22,9447,9447,265.94,
2026/05/25,9362,9362,264.50,
2026/05/26,9368,9368,264.70,
2026/05/27,9386,9386,265.21,
2026/05/28,9284,9284,262.19,
2026/05/29,9365,9365,264.80,
2026/06/01,9470,9470,268.49,
2026/06/02,9353,9353,265.35,
2026/06/03,9380,9380,268.54,
2026/06/04,9290,9290,265.99,
2026/06/05,9371,9371,267.62,
2026/06/08,9047,9047,258.21,
2026/06/09,9066,9066,259.46,
2026/06/10,8929,8929,257.61,
2026/06/11,8569,8569,247.38,
2026/06/12,8806,8806,254.54,
2026/06/15,8815,8815,255.48,
2026/06/16,9050,9050,264.19,
2026/06/17,9085,9085,267.36,
2026/06/18,8897,8897,262.42,
2026/06/19,8881,8881,262.46,
2026/06/22,8904,8904,263.84,
2026/06/23,8851,8851,262.27,
2026/06/24,8684,8684,257.70,
2026/06/25,8432,8432,250.02,
2026/06/26,8518,8518,252.70,
2026/06/29,8612,8612,255.63,
2026/06/30,8521,8521,253.51,
2026/07/01,8536,8536,255.22,
2026/07/02,8585,8585,256.98,
2026/07/03,8683,8683,262.27,
2026/07/06,8700,8700,263.11,
2026/07/07,8820,8820,266.76,
2026/07/08,8728,8728,265.86,
2026/07/09,8662,8662,264.79,
2026/07/10,8729,8729,268.74,
2026/07/13,8702,8702,268.18,
2026/07/14,8487,8487,261.89,
2026/07/15,8593,8593,267.45,
2026/07/16,8594,8594,268.00,
2026/07/17,8447,8447,264.09,
2026/07/21,8508,8508,266.36,
2026/07/22,8709,8709,272.94,
2026/07/23,8803,8803,276.83,
2026/07/24,8675,8675,273.16,
