äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2024/01/30,10000,10000,1.50,
2024/01/31,10000,10000,1.49,
2024/02/01,10000,10000,18.92,
2024/02/02,10091,10091,41.62,
2024/02/05,10422,10422,51.95,
2024/02/06,10403,10403,56.73,
2024/02/07,10326,10326,65.42,
2024/02/08,10451,10451,71.85,
2024/02/09,10568,10568,77.34,
2024/02/13,10621,10621,82.88,
2024/02/14,10544,10544,86.96,
2024/02/15,10646,10646,104.72,
2024/02/16,10661,10661,109.73,
2024/02/19,10548,10548,113.52,
2024/02/20,10573,10573,118.08,
2024/02/21,10478,10478,117.02,
2024/02/22,10463,10463,128.20,
2024/02/26,10725,10725,134.41,
2024/02/27,10740,10740,137.54,
2024/02/28,10755,10755,145.29,
2024/02/29,10709,10709,147.30,
2024/03/01,10787,10787,151.61,
2024/03/04,10925,10925,156.65,
2024/03/05,10905,10905,162.47,
2024/03/06,10682,10682,167.45,
2024/03/07,10679,10679,171.26,
2024/03/08,10761,10761,176.09,
2024/03/11,10524,10524,175.26,
2024/03/12,10487,10487,178.52,
2024/03/13,10692,10692,185.88,
2024/03/14,10616,10616,186.60,
2024/03/15,10651,10651,189.31,
2024/03/18,10580,10580,189.86,
2024/03/19,10681,10681,193.44,
2024/03/21,10943,10943,200.66,
2024/03/22,11050,11050,203.81,
2024/03/25,11050,11050,207.01,
2024/03/26,11005,11005,206.93,
2024/03/27,10983,10983,210.61,
2024/03/28,11022,11022,213.18,
2024/03/29,10998,10998,214.32,
2024/04/01,11000,11000,215.81,
2024/04/02,11047,11047,216.73,
2024/04/03,10933,10933,223.29,
2024/04/04,10967,10967,225.93,
2024/04/05,10745,10745,223.37,
2024/04/08,10939,10939,229.37,
2024/04/09,10948,10948,231.05,
2024/04/10,10979,10979,238.07,
2024/04/11,10968,10968,239.30,
2024/04/12,11154,11154,244.14,
2024/04/15,10996,10996,241.92,
2024/04/16,10882,10882,240.58,
2024/04/17,10912,10912,244.22,
2024/04/18,10754,10754,241.53,
2024/04/19,10714,10714,241.89,
2024/04/22,10496,10496,238.00,
2024/04/23,10606,10606,241.44,
2024/04/24,10766,10766,247.69,
2024/04/25,10847,10847,251.54,
2024/04/26,10804,10804,252.99,
2024/04/30,11103,11103,261.75,
2024/05/01,10964,10964,259.28,
2024/05/02,10761,10761,256.86,
2024/05/07,11096,11096,271.12,
2024/05/08,11156,11156,273.40,
2024/05/09,11202,11202,277.78,
2024/05/10,11225,11225,282.98,
2024/05/13,11276,11276,285.79,
2024/05/14,11327,11327,287.80,
2024/05/15,11417,11417,291.59,
2024/05/16,11398,11398,291.83,
2024/05/17,11497,11497,295.60,
2024/05/20,11513,11513,297.70,
