äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2023/10/27,9924,9924,0.00,
2023/10/30,9843,9843,0.00,
2023/10/31,9924,9924,0.45,
2023/11/01,10095,10095,2.87,
2023/11/02,10144,10144,3.52,
2023/11/06,10388,10388,5.54,
2023/11/07,10423,10423,6.68,
2023/11/08,10459,10459,9.78,
2023/11/09,10493,10493,11.06,
2023/11/10,10460,10460,12.74,
2023/11/13,10578,10578,14.11,
2023/11/14,10597,10597,16.26,
2023/11/15,10747,10747,18.75,
2023/11/16,10822,10822,19.88,
2023/11/17,10774,10774,21.55,
2023/11/20,10754,10754,23.86,
2023/11/21,10710,10710,25.24,
2023/11/22,10695,10695,27.05,
2023/11/24,10818,10818,29.05,
2023/11/27,10822,10822,30.57,
2023/11/28,10710,10710,31.96,
2023/11/29,10642,10642,33.83,
2023/11/30,10649,10649,35.81,
2023/12/01,10735,10735,37.41,
2023/12/04,10694,10694,38.65,
2023/12/05,10685,10685,44.41,
2023/12/06,10690,10690,48.29,
2023/12/07,10655,10655,49.51,
2023/12/08,10436,10436,50.53,
2023/12/11,10627,10627,53.08,
2023/12/12,10697,10697,58.99,
2023/12/13,10713,10713,62.52,
2023/12/14,10615,10615,63.76,
2023/12/15,10686,10686,65.87,
2023/12/18,10638,10638,66.90,
2023/12/19,10709,10709,69.22,
2023/12/20,10880,10880,73.06,
2023/12/21,10702,10702,73.26,
2023/12/22,10725,10725,75.11,
2023/12/25,10726,10726,77.20,
2023/12/26,10734,10734,79.53,
2023/12/27,10821,10821,80.17,
2023/12/28,10792,10792,89.21,
2023/12/29,10791,10791,91.59,
2024/01/04,10722,10722,95.49,
2024/01/05,10828,10828,100.64,
2024/01/09,10879,10879,206.67,
2024/01/10,10901,10901,219.86,
2024/01/11,11020,11020,278.00,
2024/01/12,10991,10991,289.28,
2024/01/15,11005,11005,298.57,
2024/01/16,11039,11039,308.66,
2024/01/17,11071,11071,309.57,
2024/01/18,11048,11048,337.32,
2024/01/19,11129,11129,347.23,
2024/01/22,11246,11246,357.87,
2024/01/23,11261,11261,364.32,
2024/01/24,11284,11284,379.06,
2024/01/25,11300,11300,386.45,
2024/01/26,11321,11321,394.19,
2024/01/29,11387,11387,403.12,
2024/01/30,11391,11391,408.86,
2024/01/31,11398,11398,421.52,
2024/02/01,11211,11211,421.29,
2024/02/02,11289,11289,439.94,
2024/02/05,11514,11514,538.58,
2024/02/06,11470,11470,548.04,
2024/02/07,11477,11477,564.65,
2024/02/08,11562,11562,576.55,
2024/02/09,11661,11661,591.66,
2024/02/13,11729,11729,638.03,
2024/02/14,11650,11650,640.34,
2024/02/15,11749,11749,662.80,
2024/02/16,11817,11817,672.12,
2024/02/19,11790,11790,682.12,
2024/02/20,11812,11812,693.09,
2024/02/21,11757,11757,689.87,
2024/02/22,11804,11804,708.28,
2024/02/26,11994,11994,724.72,
2024/02/27,11982,11982,727.55,
2024/02/28,11990,11990,742.13,
2024/02/29,11962,11962,745.10,
2024/03/01,11985,11985,752.87,
2024/03/04,12069,12069,764.47,
2024/03/05,12085,12085,812.22,
2024/03/06,11962,11962,812.77,
2024/03/07,11962,11962,818.71,
2024/03/08,12000,12000,825.55,
2024/03/11,11853,11853,822.64,
2024/03/12,11833,11833,860.36,
2024/03/13,11998,11998,881.72,
2024/03/14,12005,12005,885.88,
2024/03/15,12027,12027,891.10,
2024/03/18,12033,12033,896.96,
2024/03/19,12081,12081,906.57,
2024/03/21,12352,12352,931.88,
2024/03/22,12455,12455,941.62,
2024/03/25,12396,12396,943.94,
2024/03/26,12377,12377,946.72,
2024/03/27,12377,12377,954.90,
2024/03/28,12441,12441,964.55,
2024/03/29,12450,12450,969.35,
2024/04/01,12442,12442,973.95,
2024/04/02,12439,12439,973.70,
2024/04/03,12360,12360,1018.21,
2024/04/04,12411,12411,1026.39,
2024/04/05,12245,12245,1016.93,
2024/04/08,12384,12384,1032.76,
2024/04/09,12429,12429,1042.22,
2024/04/10,12426,12426,1089.00,
2024/04/11,12398,12398,1089.22,
2024/04/12,12463,12463,1100.31,
2024/04/15,12323,12323,1092.89,
2024/04/16,12268,12268,1094.40,
2024/04/17,12219,12219,1098.81,
2024/04/18,12160,12160,1096.38,
2024/04/19,12160,12160,1099.06,
2024/04/22,12098,12098,1096.11,
2024/04/23,12205,12205,1107.00,
2024/04/24,12363,12363,1126.81,
2024/04/25,12396,12396,1133.19,
2024/04/26,12382,12382,1135.24,
2024/04/30,12644,12644,1163.32,
2024/05/01,12543,12543,1156.26,
2024/05/02,12388,12388,1147.87,
2024/05/07,12587,12587,1213.01,
2024/05/08,12659,12659,1223.27,
2024/05/09,12719,12719,1238.66,
2024/05/10,12787,12787,1293.39,
2024/05/13,12838,12838,1303.67,
2024/05/14,12883,12883,1316.64,
2024/05/15,12955,12955,1330.90,
2024/05/16,12898,12898,1327.92,
2024/05/17,13009,13009,1345.95,
2024/05/20,13062,13062,1356.58,
