äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2023/10/27,9888,9888,0.00,
2023/10/30,9806,9806,0.00,
2023/10/31,9901,9901,0.23,
2023/11/01,10091,10091,3.95,
2023/11/02,10138,10138,4.79,
2023/11/06,10364,10364,7.46,
2023/11/07,10416,10416,10.26,
2023/11/08,10484,10484,14.36,
2023/11/09,10519,10519,16.39,
2023/11/10,10460,10460,18.57,
2023/11/13,10645,10645,22.49,
2023/11/14,10639,10639,24.21,
2023/11/15,10766,10766,27.88,
2023/11/16,10835,10835,30.26,
2023/11/17,10808,10808,37.85,
2023/11/20,10763,10763,39.78,
2023/11/21,10719,10719,41.62,
2023/11/22,10708,10708,44.81,
2023/11/24,10842,10842,47.66,
2023/11/27,10841,10841,49.18,
2023/11/28,10723,10723,51.98,
2023/11/29,10642,10642,55.23,
2023/11/30,10644,10644,57.76,
2023/12/01,10745,10745,59.89,
2023/12/04,10701,10701,61.50,
2023/12/05,10699,10699,71.07,
2023/12/06,10702,10702,75.79,
2023/12/07,10654,10654,78.08,
2023/12/08,10453,10453,78.73,
2023/12/11,10654,10654,82.67,
2023/12/12,10732,10732,90.12,
2023/12/13,10763,10763,95.78,
2023/12/14,10675,10675,97.37,
2023/12/15,10708,10708,99.41,
2023/12/18,10676,10676,101.26,
2023/12/19,10767,10767,105.45,
2023/12/20,10933,10933,111.51,
2023/12/21,10734,10734,112.02,
2023/12/22,10758,10758,115.15,
2023/12/25,10768,10768,118.55,
2023/12/26,10772,10772,121.87,
2023/12/27,10857,10857,122.83,
2023/12/28,10802,10802,134.75,
2023/12/29,10806,10806,138.33,
2024/01/04,10748,10748,143.76,
2024/01/05,10832,10832,150.30,
2024/01/09,10925,10925,289.52,
2024/01/10,10963,10963,306.61,
2024/01/11,11100,11100,373.32,
2024/01/12,11068,11068,386.97,
2024/01/15,11065,11065,398.91,
2024/01/16,11122,11122,413.15,
2024/01/17,11198,11198,415.96,
2024/01/18,11197,11197,446.96,
2024/01/19,11289,11289,458.73,
2024/01/22,11430,11430,473.29,
2024/01/23,11452,11452,482.68,
2024/01/24,11487,11487,504.96,
2024/01/25,11473,11473,515.57,
2024/01/26,11522,11522,528.14,
2024/01/29,11556,11556,539.51,
2024/01/30,11576,11576,547.57,
2024/01/31,11582,11582,564.33,
2024/02/01,11342,11342,560.41,
2024/02/02,11457,11457,586.67,
2024/02/05,11759,11759,715.98,
2024/02/06,11715,11715,729.00,
2024/02/07,11680,11680,746.66,
2024/02/08,11798,11798,764.38,
2024/02/09,11916,11916,786.03,
2024/02/13,11964,11964,841.56,
2024/02/14,11904,11904,846.20,
2024/02/15,12002,12002,877.49,
2024/02/16,12058,12058,890.66,
2024/02/19,11982,11982,900.66,
2024/02/20,12011,12011,917.13,
2024/02/21,11924,11924,910.50,
2024/02/22,11968,11968,937.27,
2024/02/26,12210,12210,963.57,
2024/02/27,12188,12188,967.52,
2024/02/28,12196,12196,988.51,
2024/02/29,12192,12192,994.13,
2024/03/01,12227,12227,1005.81,
2024/03/04,12309,12309,1022.20,
2024/03/05,12322,12322,1082.59,
2024/03/06,12167,12167,1084.11,
2024/03/07,12147,12147,1091.28,
2024/03/08,12177,12177,1101.74,
2024/03/11,12014,12014,1099.93,
2024/03/12,12004,12004,1144.51,
2024/03/13,12194,12194,1174.72,
2024/03/14,12184,12184,1179.00,
2024/03/15,12228,12228,1187.91,
2024/03/18,12204,12204,1193.36,
2024/03/19,12279,12279,1208.73,
